Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sri Lanka,LKA,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2308995623.00696
Sri Lanka,LKA,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1742399715.22894
Sri Lanka,LKA,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1882774083.92544
Sri Lanka,LKA,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1987684224.225
Sri Lanka,LKA,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2540575153.51739
Sri Lanka,LKA,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4009149851.06102
Sri Lanka,LKA,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-4615420000
Sri Lanka,LKA,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1075030000
Sri Lanka,LKA,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-214700000
Sri Lanka,LKA,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3885400000
Sri Lanka,LKA,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1400900000
Sri Lanka,LKA,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1498011000
Sri Lanka,LKA,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-650126930
Sri Lanka,LKA,2004,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-647570000
Sri Lanka,LKA,2003,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-70720000
Sri Lanka,LKA,2002,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-236350000
Sri Lanka,LKA,2001,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-215490000
Sri Lanka,LKA,2000,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1043587519.4065
Sri Lanka,LKA,1999,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-561348399.2749
Sri Lanka,LKA,1998,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-227660153.7911
Sri Lanka,LKA,1997,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-394678986.3033
Sri Lanka,LKA,1996,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-682656885.028
Sri Lanka,LKA,1995,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-769939154.8305
Sri Lanka,LKA,1994,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-757411776.442901
Sri Lanka,LKA,1993,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-382223696.1504
Sri Lanka,LKA,1992,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-450662935.888
Sri Lanka,LKA,1991,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-594774953.4545
Sri Lanka,LKA,1990,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-298300713.0604
Sri Lanka,LKA,1989,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-413707865.303
Sri Lanka,LKA,1988,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-394468796.4479
Sri Lanka,LKA,1987,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-326054896.7764
Sri Lanka,LKA,1986,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-417074091.5057
Sri Lanka,LKA,1985,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-418450274.1444
Sri Lanka,LKA,1984,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,878908.5629999
Sri Lanka,LKA,1983,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-466000705.7448
Sri Lanka,LKA,1982,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-548318353.3986
Sri Lanka,LKA,1981,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-444426398.9507
Sri Lanka,LKA,1980,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-655303058.8584
Sri Lanka,LKA,1979,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-226308882.9497
Sri Lanka,LKA,1978,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-65570665.4297997
Sri Lanka,LKA,1977,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,142192809.0781
Sri Lanka,LKA,1976,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-5943889.68210018
Sri Lanka,LKA,1975,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-110030207.1844
Sri Lanka,LKA,2017,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,12600000
